amount,converted_date,dod
35513.19921875,2021-06-05,-0.035727322101593
35796.30859375,2021-06-06,0.0079720020294189
33552.7890625,2021-06-07,-0.0626745820045471
33380.80859375,2021-06-08,-0.0051256418228149
37388.05078125,2021-06-09,0.12004625797271729
36675.71875,2021-06-10,-0.01905238628387451
37331.98046875,2021-06-11,0.017893671989440918
35546.109375,2021-06-12,-0.04783755540847778
39020.5703125,2021-06-13,0.09774518013000488
40516.2890625,2021-06-14,0.03833150863647461
40144.0390625,2021-06-15,-0.009187638759613037
38349.01171875,2021-06-16,-0.04471468925476074
38092.96875,2021-06-17,-0.006676673889160156
35819.83984375,2021-06-18,-0.059673190116882324
35483.71875,2021-06-19,-0.009383678436279297
35600.16015625,2021-06-20,0.0032815933227539062
31608.9296875,2021-06-21,-0.11211270093917847
32509.560546875,2021-06-22,0.02849292755126953
33678.0703125,2021-06-23,0.03594362735748291
34663.08984375,2021-06-24,0.02924811840057373
31584.44921875,2021-06-25,-0.08881610631942749
32283.650390625,2021-06-26,0.02213752269744873
34700.33984375,2021-06-27,0.07485795021057129
34494.890625,2021-06-28,-0.0059206485748291016
35911.73046875,2021-06-29,0.04107391834259033
35045.0,2021-06-30,-0.024135053157806396
33504.69140625,2021-07-01,-0.04395228624343872
33786.55078125,2021-07-02,0.008412480354309082
34669.12890625,2021-07-03,0.026122212409973145
35286.51171875,2021-07-04,0.017807841300964355
33690.140625,2021-07-05,-0.04524028301239014
34220.01171875,2021-07-06,0.015727758407592773
33862.12109375,2021-07-07,-0.010458528995513916
33129.98828125,2021-07-08,-0.021620988845825195
